Filename,добавление
100Л.docx,2.61
100П.docx,3.73
101Л.docx,3.16
101П.docx,2.52
102Л.docx,5.38
102П.docx,5.62
103Л.docx,2.71
103П.docx,7.43
104Л.docx,2.76
104П.docx,2.00
105Л.docx,1.96
105П.docx,2.94
106Л.docx,4.88
106П.docx,3.80
107Л.docx,3.92
107П.docx,4.11
108Л.docx,2.02
108П.docx,3.39
109Л.docx,2.82
109П.docx,1.53
10Л.docx,3.37
10П.docx,4.90
110Л.docx,7.03
110П.docx,4.11
111Л.docx,2.82
111П.docx,2.12
112Л.docx,5.31
112П.docx,5.05
113Л.docx,2.91
113П.docx,4.64
11Л.docx,2.15
11П.docx,1.27
12Л.docx,6.17
12П.docx,5.22
13Л.docx,5.52
13П.docx,4.35
14Л.docx,4.11
14П.docx,2.21
15Л.docx,7.35
15П.docx,4.49
16Л.docx,2.29
16П.docx,3.03
17Л.docx,3.21
17П.docx,4.61
18Л.docx,2.22
18П.docx,1.18
19Л.docx,3.75
19П.docx,1.79
1Л.docx,5.00
1П.docx,3.37
20Л.docx,2.60
20П.docx,1.28
21Л.docx,6.34
21П.docx,4.42
22Л.docx,2.17
22П.docx,2.31
23Л.docx,4.66
23П.docx,5.00
24Л.docx,3.79
24П.docx,3.23
25Л.docx,3.00
25П.docx,2.47
26Л.docx,3.09
26П.docx,2.70
27Л.docx,2.78
27П.docx,3.73
28Л.docx,4.55
28П.docx,4.57
29Л.docx,4.27
29П.docx,5.24
2Л.docx,5.49
2П.docx,3.52
30Л.docx,4.29
30П.docx,3.45
31Л.docx,1.37
31П.docx,1.44
32Л.docx,3.03
32П.docx,0.00
33Л.docx,1.77
33П.docx,2.92
34Л.docx,5.26
34П.docx,4.04
35Л.docx,2.70
35П.docx,2.86
36Л.docx,5.77
36П.docx,4.26
37Л.docx,2.67
37П.docx,2.10
38Л.docx,6.20
38П.docx,3.70
39Л.docx,1.61
39П.docx,0.00
3Л.docx,3.53
3П.docx,4.40
40Л.docx,3.91
40П.docx,2.42
41Л.docx,5.72
41П.docx,2.48
42Л.docx,5.00
42П.docx,4.63
43Л.docx,5.77
43П.docx,5.08
44Л.docx,4.15
44П.docx,4.72
45Л.docx,2.08
45П.docx,2.33
46Л.docx,6.56
46П.docx,7.32
47Л.docx,7.02
47П.docx,5.73
48Л.docx,6.43
48П.docx,7.41
49Л.docx,3.50
49П.docx,4.31
4Л.docx,0.00
4П.docx,1.79
50Л.docx,5.80
50П.docx,2.20
51Л.docx,3.42
51П.docx,2.04
52Л.docx,4.15
52П.docx,4.91
53Л.docx,3.38
53П.docx,2.62
54Л.docx,6.92
54П.docx,6.34
55Л.docx,5.77
55П.docx,2.89
56Л.docx,2.96
56П.docx,3.14
57Л.docx,7.14
57П.docx,5.63
58Л.docx,4.11
58П.docx,6.67
59Л.docx,3.70
59П.docx,2.68
5Л.docx,3.85
5П.docx,5.54
60Л.docx,0.00
60П.docx,0.00
61Л.docx,6.76
61П.docx,5.77
62Л.docx,3.54
62П.docx,4.00
63Л.docx,10.22
63П.docx,5.36
64Л.docx,2.13
64П.docx,2.76
65Л.docx,6.52
65П.docx,6.54
66Л.docx,3.50
66П.docx,4.81
67Л.docx,5.26
67П.docx,5.66
68Л.docx,6.76
68П.docx,3.45
69Л.docx,6.19
69П.docx,6.49
6Л.docx,2.60
6П.docx,3.31
70Л.docx,4.57
70П.docx,4.48
71Л.docx,3.42
71П.docx,4.93
72Л.docx,5.93
72П.docx,4.67
73Л.docx,4.99
73П.docx,5.78
74Л.docx,3.59
74П.docx,3.79
75Л.docx,5.34
75П.docx,6.10
76Л.docx,3.23
76П.docx,6.73
77Л.docx,1.13
77П.docx,4.95
78Л.docx,4.00
78П.docx,3.61
79Л.docx,6.02
79П.docx,3.95
7Л.docx,4.30
7П.docx,6.58
80Л.docx,6.06
80П.docx,5.93
81Л.docx,4.58
81П.docx,2.57
82Л.docx,4.63
82П.docx,4.96
83Л.docx,3.26
83П.docx,4.76
84Л.docx,4.44
84П.docx,3.17
85Л.docx,4.55
85П.docx,5.52
86Л.docx,3.70
86П.docx,6.29
87Л.docx,2.75
87П.docx,3.14
88Л.docx,6.90
88П.docx,3.57
89Л.docx,1.33
89П.docx,1.80
8Л.docx,1.67
8П.docx,3.01
90Л.docx,7.69
90П.docx,2.27
91Л.docx,1.67
91П.docx,3.38
92Л.docx,2.38
92П.docx,2.69
93Л.docx,6.98
93П.docx,4.72
94Л.docx,1.89
94П.docx,4.86
95Л.docx,1.96
95П.docx,5.41
96Л.docx,4.64
96П.docx,3.87
97Л.docx,5.00
97П.docx,2.56
98Л.docx,1.75
98П.docx,2.84
99Л.docx,1.57
99П.docx,1.35
9Л.docx,5.41
9П.docx,6.02
